REACTION ID,Classification,Component,,Common_name,Available,Reactant,Dependant_index,C,H,N,S,O,Product,k_constant,E[kj/mol],n,K_old,E_old,n_old,,,
R-1,NAPTHA,Methane,methane,methane,Yes,H2,1,1,2,0,0,0,1,4.877,23.01,0,25.5102,23.01,0,,,
R-2,NAPTHA,Ethane,ethane,ethane,Yes,H2,1,2,3,0,0,0,1,0.52,23.01,0,7.87755,23.01,0,,,
R-3,NAPTHA,Ethene,ethene,ethene,Yes,H2,1,2,2,0,0,0,1,2.386,23.01,0,5.71429,23.01,0,,,
R-4,NAPTHA,Propane,propane,propane,Yes,H2,1,3,4,0,0,0,1,0.277,23.01,0,5.81633,23.01,0,,,
R-5,NAPTHA,Propene,propene,propene,Yes,H2,1,3,3,0,0,0,1,0.446,23.01,0,6.20408,23.01,0,,,
R-6,NAPTHA,Butane,butane,butane,Yes,H2,1,4,5,0,0,0,1,0.122,23.01,0,2.46939,23.01,0,,,
R-7,NAPTHA,Butene,1-butene,1-butene,Yes,H2,1,4,4,0,0,0,1,0.144,23.01,0,4.125,23.01,0,,,
R-8,NAPTHA,Butyne,1-butyne,1-butyne,Yes,H2,1,4,3,0,0,0,1,0.981,23.01,0,0.144,23.01,0,,,
R-9,N/A,Carbon Dioxide,carbon dioxide,carbon dioxide,Yes,molecular oxygen,2,1,0,0,0,1,1,0.226,23.01,0,10.0612,23.01,0,,,
R-10,N/A,Carbon Monoxide,carbon monoxide,carbon monoxide,Yes,molecular oxygen,2,1,0,0,0,0.5,1,0.096,23.01,0,3.14286,23.01,0,,,
R-11,N/A,Hydrogen Sulfide,hydrogen sulfide,hydrogen sulfide,Yes,S,3,0,1,0,1,0,1,0.064,1.59,0,500,0,0,0.064,1.59,0
,DIESEL/NAPTHA,Hexane,hexane,hexane,Yes,H2,1,6,7,0,0,0,1,0.35,23.01,0,0.339,23.01,0,,,
R-12,NAPTHA,Pentane,pentane,pentane,Yes,H2,1,5,6,0,0,0,1,0.339,23.01,0,0.339,23.01,0,,,
R-13,NAPTHA,Pentyne,2-pentyne,2-pentyne,Yes,H2,1,5,4,0,0,0,1,0.066,23.01,0,0.066,23.01,0,,,
R-14,DIESEL/NAPTHA,Methylcyclopentene,1-methylcyclopentene,1-methylcyclopentene,Yes,H2,1,6,5,0,0,0,1,0.009,1.59,0,0.009,1.59,0,,,
R-15,NAPTHA,Methylcyclopentene,3-methylcyclopentene,3-methylcyclopentene,Yes,H2,1,6,5,0,0,0,1,0.009,1.59,0,0.009,1.59,0,,,
R-16,NAPTHA,Dimethylhexadiene,bimethallyl,bimethallyl,Yes,H2,1,8,7,0,0,0,1,0.016,1.59,0,0.016,1.59,0,,,
R-17,DIESEL,Trimethylpentane,"2,2,3-trimethylpentane","2,2,3-trimethylpentane",Yes,H2,1,8,9,0,0,0,1,0.023,1.59,0,0.023,1.59,0,,,
